Author_1,Author_2,Weight
Dillenbourg,Rodríguez-Triana,2
Dillenbourg,Sharma,2
L.P.,M.J.,2
L.P.,Prieto,2
L.P.,Rodríguez-Triana,2
L.P.,Sharma,2
M.J.,Prieto,2
M.J.,Rodríguez-Triana,2
M.J.,Sharma,2
Prieto,Rodríguez-Triana,2
Prieto,Sharma,2
Rodríguez-Triana,Sharma,2
Q.Z.,Wang,2
Ruan,Wang,2
Sheng,Wang,2
Tan,Wang,2
Wang,Yao,2
O.C.,Santos,2
Xiao,Zhang,2
Chang,Wang,2
W.-T.,Wang,2
Wang,Zhu,2
A.B.,Baltasar,2
A.B.,Barbosa,2
A.B.,Bidarra,2
A.B.,Escudeiro,4
A.B.,Lopes,2
A.B.,Norberto,2
A.B.,Reis,2
Baltasar,Barbosa,2
Baltasar,Bidarra,2
Baltasar,Escudeiro,4
Baltasar,Lopes,2
Baltasar,Norberto,2
Baltasar,Reis,2
Barbosa,Bidarra,2
Barbosa,Escudeiro,4
Barbosa,Lopes,2
Barbosa,Norberto,2
Barbosa,Reis,2
Bidarra,Escudeiro,4
Bidarra,Lopes,2
Bidarra,Norberto,2
Bidarra,Reis,2
Escudeiro,Escudeiro,2
Escudeiro,Lopes,4
Escudeiro,Norberto,4
Escudeiro,Reis,4
Lopes,Norberto,2
Lopes,Reis,2
Norberto,Reis,2
Escudeiro,Rodrigues,2
